Tempo di misurazione,Peso(kg),BMI,Grasso corporeo(%),Peso corporeo senza grassi(kg),Grasso sottocutaneo(%),Grasso viscerale,Acqua corporea(%),Muscolo scheletrico(%),Massa muscolare(kg),Massa ossea(kg),Proteine(%),BMR(kcal),Età metabolica,Peso ottimale(kg),Obiettivo per un peso ottimale(kg),Obiettivo per una massa grassa ottimale(kg),Obiettivo per una massa muscolare ottimale(kg),Tipo di corpo,Osservazioni
2024-06-07 08:36:52,65.05,19.9,16.3,54.50,15.0,3.0,60.5,54.1,51.80,2.70,19.1,1546,38,,,,,,
2024-06-08 09:01:24,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-06-09 08:52:49,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-06-10 07:23:18,65.35,19.9,16.5,54.60,15.2,3.0,60.3,54.0,51.90,2.70,19.0,1549,38,,,,,,
2024-06-11 07:26:27,64.95,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1545,38,,,,,,
2024-06-12 08:28:42,65.15,19.9,16.3,54.50,15.1,3.0,60.4,54.1,51.80,2.70,19.1,1547,38,,,,,,
2024-06-13 07:21:55,65.00,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1546,38,,,,,,
2024-06-14 08:18:29,65.45,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1550,38,,,,,,
2024-06-15 08:30:16,65.20,19.9,16.4,54.50,15.1,3.0,60.4,54.0,51.80,2.70,19.1,1547,38,,,,,,
2024-06-16 08:42:51,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-06-17 07:30:06,65.10,19.9,16.3,54.50,15.1,3.0,60.4,54.1,51.80,2.70,19.1,1546,38,,,,,,
2024-06-18 07:21:23,65.40,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1549,38,,,,,,
